file,flight_id,path,status,reject_reason,row_count,duration_s,sample_hz,file_size_mb,nan_delta_angle,nan_delta_velocity,nan_mag_field,nan_indicated_airsp,nan_baro_alt_meter_,nan_x_f58,nan_y_f58,nan_z_f58
vuelo_33_sync.csv,vuelo_33,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_33_sync.csv,ok,,512,259.07,1.97,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_34_sync.csv,vuelo_34,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_34_sync.csv,ok,,554,280.83,1.97,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_35_sync.csv,vuelo_35,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_35_sync.csv,ok,,516,260.59,1.98,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_36_sync.csv,vuelo_36,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_36_sync.csv,ok,,521,263.12,1.98,10.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_37_sync.csv,vuelo_37,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_37_sync.csv,ok,,526,265.65,1.98,10.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_38_sync.csv,vuelo_38,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_38_sync.csv,ok,,501,253.0,1.98,10.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_39_sync.csv,vuelo_39,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_39_sync.csv,ok,,473,238.83,1.98,9.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_3_sync.csv,vuelo_3,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_3_sync.csv,ok,,510,258.57,1.97,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_40_sync.csv,vuelo_40,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_40_sync.csv,ok,,461,233.27,1.97,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_41_sync.csv,vuelo_41,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_41_sync.csv,ok,,487,245.92,1.98,9.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_42_sync.csv,vuelo_42,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_42_sync.csv,ok,,538,272.23,1.97,10.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_43_sync.csv,vuelo_43,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_43_sync.csv,ok,,500,253.0,1.97,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_44_sync.csv,vuelo_44,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_44_sync.csv,ok,,502,253.51,1.98,10.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_45_sync.csv,vuelo_45,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_45_sync.csv,ok,,508,256.54,1.98,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_46_sync.csv,vuelo_46,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_46_sync.csv,ok,,539,272.73,1.97,10.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_47_sync.csv,vuelo_47,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_47_sync.csv,ok,,558,281.84,1.98,11.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_48_sync.csv,vuelo_48,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_48_sync.csv,ok,,501,253.51,1.97,10.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_49_sync.csv,vuelo_49,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_49_sync.csv,ok,,486,245.41,1.98,9.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_4_sync.csv,vuelo_4,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_4_sync.csv,ok,,512,259.58,1.97,10.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_50_sync.csv,vuelo_50,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_50_sync.csv,ok,,481,242.88,1.98,9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_51_sync.csv,vuelo_51,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_51_sync.csv,ok,,471,237.82,1.98,9.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_52_sync.csv,vuelo_52,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_52_sync.csv,ok,,476,240.35,1.98,9.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_53_sync.csv,vuelo_53,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_53_sync.csv,ok,,510,258.06,1.97,10.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
